Color,Vdio,Vbat,R,I
Red,1.34,1.34,22000,0.0
Red,1.76,2.59,22000,3.772727272727272e-05
Red,1.83,4.91,22000,0.00014000000000000001
Red,1.85,7.37,22000,0.0002509090909090909
Red,1.87,10.48,22000,0.00039136363636363636
Red,1.88,12.72,22000,0.0004927272727272727
Red,1.89,16.34,22000,0.0006568181818181818
Red,1.9,17.48,22000,0.0007081818181818182
