Color,Vdio,Vbat,R,I
White,1.35,1.35,22000,0.0
White,1.61,1.61,22000,0.0
White,2.11,2.11,22000,0.0
White,2.61,3.35,22000,3.363636363636364e-05
White,2.67,5.59,22000,0.00013272727272727272
White,2.7,8.43,22000,0.00026045454545454543
White,2.71,10.44,22000,0.00035136363636363636
White,2.73,12.87,22000,0.00046090909090909087
White,2.74,15.85,22000,0.0005959090909090908
