Color,Vdio,Vbat,R,I
Green,1.27,1.27,22000,0.0
Green,1.72,2.26,22000,2.4545454545454535e-05
Green,1.8,4.33,22000,0.00011500000000000002
Green,1.84,6.67,22000,0.00021954545454545455
Green,1.86,9.4,22000,0.0003427272727272727
Green,1.87,11.99,22000,0.00046000000000000007
Green,1.88,14.15,22000,0.0005577272727272727
Green,1.89,16.4,22000,0.0006595454545454544
