Color,Vdio,Vbat,R,I
Blue,1.26,1.26,22000,0.0
Blue,1.46,1.46,22000,0.0
Blue,2.34,2.52,22000,8.18181818181819e-06
Blue,2.45,4.68,22000,0.00010136363636363634
Blue,2.48,7.0,22000,0.00020545454545454542
Blue,2.5,10.21,22000,0.0003504545454545455
Blue,2.51,12.38,22000,0.0004486363636363637
Blue,2.52,13.95,22000,0.0005195454545454545
Blue,2.53,16.31,22000,0.0006263636363636364
